Country Name,Country Code,Series Name,Series Code,2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Japan,JPN,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,10.1075268817204,10.1075268817204,9.89247311827957,9.67741935483871,9.91379310344828,10.3448275862069
Japan,JPN,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,87.32,87.45,87.71,87.57,87.09,87.14
Japan,JPN,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,3.076,2.772,2.503,2.088,1.821,1.737
Japan,JPN,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,5,5,4,4,5,3
Jordan,JOR,GDP per capita (current US$),NY.GDP.PCAP.CD,4145.43989673265,4170.1144003465,4022.0401356135,4183.49998326866,4332.25159897931,4466.08314208575
Jordan,JOR,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,92.4891451216421,92.5425629523907,93.0858429614664,92.8440273185155,93.4988532874014,93.1909358247647
Jordan,JOR,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,37.0075501126946,35.1728040357134,35.9681072976761,37.1504694896402,39.9900863074411,40.4090341678811
Jordan,JOR,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,14.649,13.685,14.975,13.964,13.922,15.933
Jordan,JOR,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,24.099,23.993,25.348,26.175,26.868,23.072
Jordan,JOR,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,15.3846153846154,15.3846153846154,11.5384615384615,11.5384615384615,12.3076923076923,12.3076923076923
Jordan,JOR,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,78.834,79.231,78.252,76.645,79.433,80.192
Jordan,JOR,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,24.292,22.573,20.981,19.418,18.875,18.425
Jordan,JOR,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,36,35,41,79,35,31
Kazakhstan,KAZ,GDP per capita (current US$),NY.GDP.PCAP.CD,9472.48527327758,9457.12614657136,8781.50797787648,9983.60103576902,11255.3396437881,12879.4275257974
Kazakhstan,KAZ,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,96.2488486443621,96.758870906544,91.6816314447458,93.9223187700412,93.6981837228001,94.8671029040021
Kazakhstan,KAZ,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,56.8632416667494,62.8662608612947,67.9651341780338,65.0919364629015,63.15518036521,59.9310187694943
Kazakhstan,KAZ,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,64.818,64.661,63.607,64.068,64.743,65.029
Kazakhstan,KAZ,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,5.379,5.34,5.377,6.155,5.502,5.473
Kazakhstan,KAZ,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,27.1028037383178,27.1028037383178,27.1028037383178,27.1028037383178,27.3584905660377,18.3673469387755
Kazakhstan,KAZ,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,77.503,77.743,75.468,74.07,77.752,78.394
Kazakhstan,KAZ,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,23.453,22.036,21.962,21.952,18.412,18.235
Kazakhstan,KAZ,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,11,11,18,23,14,10
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,1836.45275528993,1960.40808854893,1927.66459027849,2061.35622089594,2109.56288513137,1942.58802756191
