Country Name,Country Code,adolescent_fertility,gdp_per_capita,female_labor_force_participation,female_life_expectancy,maternal_mortality,women_in_parliament,female_secondary_enrollment,female_tertiary_enrollment,female_unemployment,female_secondary_enrollment_norm,female_tertiary_enrollment_norm,female_labor_force_participation_norm,female_life_expectancy_norm,women_in_parliament_norm,female_unemployment_norm,maternal_mortality_norm,adolescent_fertility_norm,education_index,economic_participation_index,health_index,political_representation_index,womens_development_index
Chile,CHL,6.542,17067.0364799154,51.963,83.084,10.0,35.4838709677419,104.630210876465,114.003547668457,9.359,0.6799638429701266,0.6618473978700006,0.6043858975343728,0.8498815485650884,0.5793285055957861,0.7700175923598894,0.9909274193548387,0.9602771513547079,0.6709056204200636,0.687201744947131,0.933695373091545,0.5793285055957861,0.7177828110136314
France,FRA,3.507,44700.1384177544,52.108,85.7,7.0,37.7816291161178,104.395561218262,80.5344314575195,7.205,0.6783976256652868,0.4636726325762635,0.6062421588959724,0.9283293849521695,0.6168429243447804,0.824151796933903,0.9939516129032258,0.9801156976174135,0.5710351291207751,0.7151969779149376,0.9674655651576028,0.6168429243447804,0.717635149134524
Germany,DEU,5.473,54776.7668235491,55.821,83.5,4.0,35.1902173913043,97.6778869628906,82.1993179321289,2.857,0.6335591300645946,0.4735306307458899,0.6537752515554189,0.8623564338621165,0.5745341614906825,0.933425483789897,0.9969758064516129,0.9672647645193974,0.5535448804052423,0.793600367672658,0.9421990016110423,0.5745341614906825,0.7159696027949063
Canada,CAN,4.805,54220.3285039875,61.134,83.88,12.0,30.6547619047619,104.46174621582,88.6089019775391,5.259,0.6788393910157671,0.5114825684613695,0.7217912282049311,0.8737517617776709,0.5004859086491739,0.8730585574264891,0.9889112903225806,0.9716312056737588,0.5951609797385683,0.7974248928157102,0.9447647525913369,0.5004859086491739,0.7094591334486974
Ireland,IRL,4.069,106818.917130804,60.155,84.6,4.0,23.125,136.129119873047,85.6828994750977,4.216,0.8902097761278012,0.49415734674007655,0.7092582635635097,0.8953429094071428,0.37755102040816324,0.899271173661724,0.9969758064516129,0.9764421348498219,0.6921835614339389,0.8042647186126168,0.9562536169028593,0.37755102040816324,0.7075632293393945
"Hong Kong SAR, China",HKG,1.12,50562.3633144379,52.27,88.09,44.0,25.04489795918365,103.838896020539,110.140271493213,2.422,0.6746820495491626,0.6389724631251246,0.6083160508999667,1.0,0.40889629321116167,0.9443578788640362,0.9566532258064516,0.9957185344968461,0.6568272563371436,0.7763369648820014,0.9841239201010992,0.40889629321116167,0.7065461086328514
Malta,MLT,10.398,40905.8059585057,55.525,85.2,8.0,27.8481012658228,103.851119995117,101.422912597656,3.201,0.6747636409764188,0.587355905872151,0.6499859180172567,0.913335532431703,0.4546628778093519,0.9247800955013823,0.9929435483870968,0.9350720658888126,0.6310597734242849,0.7873830067593195,0.9471170489025375,0.4546628778093519,0.7050556767238734
Latvia,LVA,7.565,22710.2637544197,55.436,80.6,19.0,32.0,102.485107421875,101.502548217773,5.432,0.6656459096861844,0.5878274382014257,0.6488465575953094,0.77539208924341,0.5224489795918368,0.8687107313395326,0.9818548387096774,0.9535902212635226,0.6267366739438051,0.7587786444674209,0.9036123830722033,0.5224489795918368,0.7028941702688165
Mexico,MEX,60.099,13860.9597809326,47.317,77.811,42.0,50.0,108.700912475586,51.6074905395508,2.797,0.7071345762931919,0.29239264744146426,0.5449087231482193,0.6917563798842475,0.8163265306122449,0.9349334003518472,0.9586693548387096,0.6101970781449162,0.4997636118673281,0.7399210617500332,0.7535409376226244,0.8163265306122449,0.7023880354630577
Poland,POL,6.191,22145.2660647429,52.209,82.1,2.0,29.3478260869565,107.910926818848,93.4927291870117,2.788,0.7018616548850224,0.54040031175858,0.6075351409478454,0.8203736468048097,0.47914818101153467,0.9351595878361397,0.998991935483871,0.9625714939373141,0.6211309833218013,0.7713473643919926,0.9273123587419984,0.47914818101153467,0.6997347218668317
Peru,PER,43.562,7887.54185920108,65.083,80.123,51.0,38.7596899224806,113.164916992188,60.20214459287705,5.8,0.7369304906632707,0.343282654188705,0.7723455462529123,0.7610879539388851,0.6328112640404996,0.8594621764262378,0.9495967741935484,0.718292643069582,0.5401065724259878,0.815903861339575,0.8096591237340052,0.6328112640404996,0.6996202053850169
Estonia,EST,5.026,30264.0064885057,61.049,83.3,5.0,28.7128712871287,110.660980224609,81.3784027099609,6.638,0.7202174507822836,0.4686698904606105,0.7207030749929589,0.8563588928539297,0.4687815720347543,0.8384016084443328,0.9959677419354839,0.970186619603229,0.5944436706214471,0.7795523417186458,0.9408377514642142,0.4687815720347543,0.6959038339597653
Croatia,HRV,6.57,22184.2279304842,47.139,81.7,3.0,31.7880794701987,108.546096801758,97.7153091430664,6.652,0.7061012273027575,0.5654027285075385,0.5426300023043245,0.8083785647884367,0.5189890525746726,0.8380497612465443,0.9979838709677419,0.9600941268751838,0.6357519779051479,0.6903398817754344,0.9221521875437876,0.5189890525746726,0.6918082749497606
Ecuador,ECU,55.531,6737.84748379638,52.521,80.139,55.0,43.0656934306569,94.1827583420861,76.0744634319622,4.349,0.6102301767199922,0.437264611787428,0.6115293033259083,0.7615677572195397,0.7031133621331739,0.8959286252827343,0.9455645161290323,0.6400562146615681,0.5237473942537101,0.7537289643043212,0.7823961626700466,0.7031133621331739,0.6907464708403129
United States,USA,13.145,81032.262117545,56.602,81.1,17.0,28.9655172413793,98.6511611938477,94.8502197265625,3.45,0.6400554486808393,0.5484381806813344,0.6637734593030697,0.7903859417638766,0.4729064039408865,0.9185222417692888,0.9838709677419355,0.917116057129784,0.5942468146810869,0.7911478505361793,0.8971243222118653,0.4729064039408865,0.6888563478425045
Bolivia,BOL,64.848,4274.70820547613,72.455,71.145,146.0,46.1538461538462,91.2883197233107,60.20214459287705,3.432,0.590910652083819,0.343282654188705,0.8667204342371406,0.4918583380813864,0.7535321821036115,0.9189746167378738,0.8538306451612903,0.5791548190999117,0.46709665313626203,0.8928475254875072,0.6416146007808629,0.7535321821036115,0.6887727403770609
Lithuania,LTU,5.854,27786.0057829276,57.914,81.9,8.0,28.3687943262411,104.355499267578,91.756950378418,6.373,0.6781302239528469,0.5301225513353011,0.6805694241749238,0.8143761057966235,0.4631639889998547,0.845061573259613,0.9929435483870968,0.9647743242801582,0.604126387644074,0.7628154987172684,0.9240313261546261,0.4631639889998547,0.6885343003789558
Grenada,GRD,29.088,11414.4781691181,53.205,78.359,48.0,31.25,102.901307966706,112.941963195801,5.473,0.6684239256466172,0.655561625267516,0.6202857362316613,0.7081896422466786,0.5102040816326531,0.8676803216888666,0.9526209677419355,0.8129032258064516,0.6619927754570667,0.7439830289602639,0.8245712785983552,0.5102040816326531,0.6851877911620847
