Country Name,Country Code,adolescent_fertility,gdp_per_capita,female_labor_force_participation,female_life_expectancy,maternal_mortality,women_in_parliament,female_secondary_enrollment,female_tertiary_enrollment,female_unemployment
Senegal,SEN,60.242,1698.03387300843,37.767,70.754,237.0,46.0606060606061,50.2150531512901,16.4575021707177,3.327
Serbia,SRB,13.669,12281.707946167,51.414,78.6,11.0,34.8,95.2010726928711,87.7373886108398,8.644
Seychelles,SYC,54.516,18262.7115849287,,78.8,42.0,22.8571428571429,75.8835758835759,18.5635679119606,
Sierra Leone,SLE,93.592,758.329137378248,51.774,63.502,354.0,28.1879194630873,91.7119293212891,,2.096
Singapore,SGP,2.16,85412.230345235,63.299,85.3,6.0,29.126213592233,102.676070813741,102.127991350812,3.703
Sint Maarten (Dutch part),SXM,17.156,39451.8223361963,,79.531,,,,12.5537403267412,
Slovak Republic,SVK,24.59,24614.8734642794,55.698,81.5,4.0,22.0,93.5071716308594,63.110668182373,5.936
Slovenia,SVN,3.496,32660.4753581346,52.986,84.9,3.0,37.7777777777778,108.57103729248,97.7710037231445,3.714
Solomon Islands,SLB,50.372,1882.64394148042,82.327,71.982,123.0,8.0,,,1.503
"Somalia, Fed. Rep.",SOM,117.1,596.885985135589,20.707,61.388,563.0,19.7080291970803,2.75847005844116,,24.663
South Sudan,SSD,97.132,,70.393,60.627,692.0,32.3636363636364,,,13.593
Spain,ESP,4.809,33493.2225409111,52.773,86.7,3.0,44.2857142857143,120.571983337402,106.624557495117,13.88
Sri Lanka,LKA,15.091,3798.89016573011,29.6,80.593,18.0,5.33333333333333,90.4491165297148,26.0459119158667,6.638
St. Kitts and Nevis,KNA,35.183,22576.9248439166,,76.023,74.0,31.25,130.727762803234,,
St. Lucia,LCA,27.829,13554.7684784933,62.135,76.304,44.0,11.1111111111111,90.5332412719727,20.5900497436523,13.598
St. Martin (French part),MAF,14.29,21668.3776525323,,83.839,,,,,
St. Vincent and the Grenadines,VCT,42.3,10582.3656725229,58.568,74.315,56.0,18.1818181818182,126.988335100742,63.9955481357819,16.398
Sudan,SDN,66.071,797.283447265625,14.452,69.626,256.0,30.5164319248826,44.8803787231445,,14.01
Suriname,SUR,48.032,5521.97602122638,44.348,76.835,84.0,29.4117647058824,78.089997077636,6.06664974435218,10.81
Sweden,SWE,1.792,54950.2834725622,61.685,85.0,4.0,46.4183381088825,143.316436767578,104.125679016113,7.866
Switzerland,CHE,1.483,100623.549627296,62.375,86.0,5.0,38.5,101.31884765625,78.7506637573242,4.283
Syrian Arab Republic,SYR,38.91,1051.67149587463,12.879,74.412,20.0,10.8,42.0292587280273,,25.152
Tajikistan,TJK,40.437,1178.47990060249,21.674,73.976,14.0,26.984126984127,83.7874636593437,34.0234005542585,4.104
Tanzania,TZA,113.209,1224.00219726563,80.33,69.775,276.0,37.4045801526718,29.2047595977783,4.66307392103225,2.211
Thailand,THA,26.145,7195.10130919449,60.311,80.861,34.0,18.8376753507014,96.6361035696829,52.2406320377059,0.808
Timor-Leste,TLS,27.406,1502.41147438211,60.774,69.436,192.0,36.9230769230769,89.3942621030436,31.5507306442772,1.542
Togo,TGO,77.05,1055.01727877926,56.49,62.923,349.0,19.7802197802198,59.0849653049812,10.7860283764189,2.09
Tonga,TON,24.841,5651.59373063157,42.617,76.405,67.0,7.14285714285714,97.895246159429,58.6076201875125,2.31
Tunisia,TUN,4.315,3951.11683376921,26.781,79.149,36.0,16.2337662337662,,49.398738861084,20.453
Turkiye,TUR,12.055,13375.0947282864,35.764,79.855,15.0,19.8333333333333,116.872711181641,109.999862670898,12.719
Turkmenistan,TKM,21.227,6231.91323839698,38.228,72.839,5.0,25.6,93.1647186279297,18.9331607818604,2.377
Turks and Caicos Islands,TCA,16.189,35470.2151608295,,80.297,,,101.720430107527,32.9078014184397,
Tuvalu,TUV,27.507,6344.7750188689,,70.698,170.0,6.25,104.873949579832,27.8325123152709,
Uganda,UGA,106.954,1002.30913917142,75.445,71.116,170.0,33.8129496402878,,,3.341
Ukraine,UKR,11.377,5139.59814453125,47.738,80.198,15.0,20.4326923076923,87.33740234375,82.0221481323242,10.15
United Arab Emirates,ARE,3.103,49850.6872175164,52.347,84.204,3.0,50.0,102.195120776205,70.1777672820254,4.34
United Kingdom,GBR,8.359,49944.4702124201,57.38,83.208,8.0,34.6153846153846,113.658416748047,93.4978408813477,3.683
United States,USA,13.145,81032.262117545,56.602,81.1,17.0,28.9655172413793,98.6511611938477,94.8502197265625,3.45
Uruguay,URY,26.188,23019.4221560046,56.518,81.92,15.0,26.2626262626263,125.241045093642,101.562689083766,9.46
Uzbekistan,UZB,34.081,2878.96879292451,41.24,75.401,26.0,33.5714285714286,97.0191649872622,46.4659334224552,6.554
Vanuatu,VUT,66.219,3482.61458237637,53.604,73.927,100.0,1.92307692307692,134.925790252936,,6.292
"Venezuela, RB",VEN,73.295,3617.43594578269,36.158,76.501,227.0,22.1556886227545,101.692710876465,,5.937
Viet Nam,VNM,34.277,4323.35031982451,69.215,79.264,48.0,30.2605210420842,90.5445572317873,36.0774676873689,1.511
Virgin Islands (U.S.),VIR,31.777,44320.909185774,52.999,83.9,,,,,12.174
West Bank and Gaza,PSE,36.043,3455.02852911712,18.934,71.502,16.0,,92.1529721719084,54.7817476689496,39.998
"Yemen, Rep.",YEM,75.328,633.887202451545,4.752,71.388,118.0,0.0,,,29.385
Zambia,ZMB,115.907,1330.72780576709,56.361,68.673,85.0,14.9700598802395,,,6.037
Zimbabwe,ZWE,98.057,2195.22492079245,62.178,65.013,358.0,30.6818181818182,,,9.516
