Country Name,Country Code,adolescent_fertility,gdp_per_capita,female_labor_force_participation,female_life_expectancy,maternal_mortality,women_in_parliament,female_secondary_enrollment,female_tertiary_enrollment,female_unemployment,female_secondary_enrollment_norm,female_tertiary_enrollment_norm,female_labor_force_participation_norm,female_life_expectancy_norm,women_in_parliament_norm,female_unemployment_norm,maternal_mortality_norm,adolescent_fertility_norm,education_index,economic_participation_index,health_index,political_representation_index,womens_development_index,Economy,Economy Code,ISO Code,Region,Income Group,Report Year,I. Economy LF Index,1. Safety LF Topic Score,2. Mobility LF Topic Score,3. Work LF Topic Score,4. Pay LF Topic Score,5. Marriage LF Topic Score,6. Parenthood LF Topic Score,7. Childcare LF Topic Score,8. Entrepreneurship LF Topic Score,9. Assets LF Topic Score,10. Pension LF Topic Score,II. Economy SF Index,1. Safety SF Topic Score,2. Mobility SF Topic Score,3. Work SF Topic Score,4. Pay SF Topic Score,5. Marriage SF Topic Score,6. Parenthood SF Topic Score,7. Childcare SF Topic Score,8. Entrepreneurship SF Topic Score,9. Assets SF Topic Score,10. Pension SF Topic Score,III. Economy EP Index,1. Safety EP Topic Score,2. Mobility EP Topic Score,3. Work EP Topic Score,4. Pay EP Topic Score,5. Marriage EP Topic Score,6. Parenthood EP Topic Score,7. Childcare EP Topic Score,8. Entrepreneurship EP Topic Score,9. Assets EP Topic Score,10. Pension EP Topic Score
Costa Rica,CRI,26.251,16942.0268119375,44.088,83.42,24.0,47.3684210526316,130.602096557617,60.4732704162598,10.21,0.8533185246034103,0.3448880236306501,0.5035717028957677,0.8599574174588418,0.7733619763694954,0.7486303091228952,0.9768145161290324,0.8314475275353792,0.5991032741170301,0.6261010060093315,0.8894064870410844,0.7733619763694954,0.7219931858842353,Costa Rica,CRI,CRI,Latin America & Caribbean,High income,2026,84.78,100.0,100.0,79.25,100.0,100,76.75,66.75,25.0,100,100.0,60.95,93.75,75.0,58.25,75.0,75.0,25.0,50.0,70.0,37.5,50.0,66.64,62.5,100,53.19,43.75,100,64.25,33.33,25,84.38,100
Chile,CHL,6.542,17067.0364799154,51.963,83.084,10.0,35.4838709677419,104.630210876465,114.003547668457,9.359,0.6799638429701266,0.6618473978700006,0.6043858975343728,0.8498815485650884,0.5793285055957861,0.7700175923598894,0.9909274193548387,0.960277151354708,0.6709056204200636,0.687201744947131,0.933695373091545,0.5793285055957861,0.7177828110136314,Chile,CHL,CHL,High income: OECD,High income,2026,79.8,56.25,100.0,100.0,75.0,75,87.5,100.0,50.0,75,79.25,79.93,79.25,100.0,75.0,75.0,62.5,75.0,75.0,95.0,62.5,100.0,65.4,46.88,100,65.63,62.5,75,78.13,50,31.25,95.83,48.75
France,FRA,3.507,44700.1384177544,52.108,85.7,7.0,37.7816291161178,104.395561218262,80.5344314575195,7.205,0.6783976256652868,0.4636726325762635,0.6062421588959724,0.9283293849521695,0.6168429243447804,0.824151796933903,0.9939516129032258,0.9801156976174136,0.5710351291207751,0.7151969779149376,0.9674655651576028,0.6168429243447804,0.717635149134524,France,FRA,FRA,High income: OECD,High income,2026,92.93,62.5,100.0,100.0,100.0,100,100.0,91.75,75.0,100,100.0,90.18,91.75,100.0,100.0,100.0,87.5,100.0,87.5,85.0,50.0,100.0,80.94,46.88,100,81.25,75,100,90.63,62.56,68.75,93.75,90.63
Germany,DEU,5.473,54776.7668235491,55.821,83.5,4.0,35.1902173913043,97.6778869628906,82.1993179321289,2.857,0.6335591300645946,0.4735306307458899,0.6537752515554189,0.8623564338621165,0.5745341614906825,0.933425483789897,0.9969758064516128,0.9672647645193974,0.5535448804052423,0.793600367672658,0.9421990016110424,0.5745341614906825,0.7159696027949063,Germany,DEU,DEU,High income: OECD,High income,2026,85.43,12.5,100.0,79.25,100.0,100,100.0,100.0,62.5,100,100.0,83.18,79.25,75.0,100.0,75.0,100.0,100.0,87.5,77.5,37.5,100.0,78.13,9.38,100,62.56,87.5,100,96.88,71.88,56.25,100,96.88
Canada,CAN,4.805,54220.3285039875,61.134,83.88,12.0,30.6547619047619,104.46174621582,88.6089019775391,5.259,0.6788393910157671,0.5114825684613695,0.7217912282049311,0.8737517617776709,0.5004859086491739,0.8730585574264891,0.9889112903225806,0.9716312056737588,0.5951609797385683,0.7974248928157102,0.9447647525913369,0.5004859086491739,0.7094591334486974,Canada,CAN,CAN,High income: OECD,High income,2026,87.93,37.5,100.0,75.0,100.0,100,100.0,100.0,75.0,100,91.75,92.93,91.75,100.0,100.0,100.0,87.5,100.0,100.0,100.0,50.0,100.0,73.39,26.56,96.88,62.5,68.75,100,75,75,62.5,100,66.75
Ireland,IRL,4.069,106818.917130804,60.155,84.6,4.0,23.125,136.129119873047,85.6828994750977,4.216,0.8902097761278012,0.4941573467400765,0.7092582635635097,0.8953429094071428,0.3775510204081632,0.899271173661724,0.9969758064516128,0.976442134849822,0.6921835614339389,0.8042647186126168,0.9562536169028591,0.3775510204081632,0.7075632293393945,Ireland,IRL,IRL,High income: OECD,High income,2026,92.1,62.5,100.0,100.0,100.0,100,100.0,91.75,75.0,100,91.75,85.68,91.75,75.0,100.0,100.0,87.5,100.0,100.0,77.5,75.0,50.0,78.87,46.88,100,90.63,75,93.75,84.38,56.31,66.67,100,75.08
"Hong Kong SAR, China",HKG,1.12,50562.3633144379,52.27,88.09,44.0,25.04489795918365,103.838896020539,110.140271493213,2.422,0.6746820495491626,0.6389724631251246,0.6083160508999667,1.0,0.4088962932111616,0.9443578788640362,0.9566532258064516,0.995718534496846,0.6568272563371436,0.7763369648820014,0.9841239201010992,0.4088962932111616,0.7065461086328514,"Hong Kong SAR, China",HKG,HKG,East Asia & Pacific,High income,2026,76.05,18.75,100.0,66.75,75.0,100,75.0,100.0,50.0,100,75.0,59.05,60.5,75.0,75.0,25.0,87.5,25.0,75.0,55.0,37.5,75.0,62.87,10.94,100,53.19,62.5,96.88,62.5,43.75,43.75,96.88,58.33
Malta,MLT,10.398,40905.8059585057,55.525,85.2,8.0,27.8481012658228,103.851119995117,101.422912597656,3.201,0.6747636409764188,0.587355905872151,0.6499859180172567,0.913335532431703,0.4546628778093519,0.9247800955013824,0.9929435483870968,0.9350720658888126,0.6310597734242849,0.7873830067593195,0.9471170489025376,0.4546628778093519,0.7050556767238734,Malta,MLT,MLT,Middle East & North Africa,High income,2026,88.35,68.75,100.0,91.75,93.75,100,87.5,91.75,75.0,100,75.0,62.3,85.5,100.0,50.0,62.5,87.5,75.0,50.0,12.5,37.5,62.5,..,..,..,..,..,..,..,..,..,..,..
Latvia,LVA,7.565,22710.2637544197,55.436,80.6,19.0,32.0,102.485107421875,101.502548217773,5.432,0.6656459096861844,0.5878274382014257,0.6488465575953094,0.77539208924341,0.5224489795918368,0.8687107313395326,0.9818548387096774,0.9535902212635226,0.6267366739438051,0.7587786444674209,0.9036123830722032,0.5224489795918368,0.7028941702688165,Latvia,LVA,LVA,High income: OECD,High income,2026,82.3,31.25,100.0,100.0,100.0,100,100.0,66.75,50.0,100,75.0,62.93,79.25,75.0,75.0,75.0,75.0,50.0,50.0,12.5,37.5,100.0,75.63,18.75,100,81.25,65.63,100,93.75,56.31,50,96.88,93.75
Mexico,MEX,60.099,13860.9597809326,47.317,77.811,42.0,50.0,108.700912475586,51.6074905395508,2.797,0.7071345762931919,0.2923926474414642,0.5449087231482193,0.6917563798842475,0.8163265306122449,0.9349334003518472,0.9586693548387096,0.6101970781449162,0.4997636118673281,0.7399210617500332,0.7535409376226244,0.8163265306122449,0.7023880354630577,Mexico,MEX,MEX,Latin America & Caribbean,Upper middle income,2026,82.55,87.5,100.0,87.5,75.0,100,84.0,58.25,75.0,100,58.25,67.68,91.75,100.0,75.0,50.0,87.5,50.0,75.0,60.0,37.5,50.0,54.2,34.38,100,37.5,25,84.38,50.5,33.25,56.25,87.5,33.25
